Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
ACSF1,1,0.77,0.75,0.117018938,0.58,0.29,0.031816006,0.62,0.29,0.033227205,0.63,0.45,0.05577302,100,100
ACSF1,3,0.6,0.793333333,0.120009661,0.47,0.306666667,0.03346014,0.56,0.45,0.035233974,0.59,0.483333333,0.05862689,100,100
ACSF1,5,0.59,0.826,0.121005058,0.49,0.418,0.034241915,0.57,0.506,0.036547899,0.59,0.586,0.059463024,100,100
ACSF1,10,0.57,0.873,0.121503115,0.46,0.514,0.03517437,0.54,0.616,0.037306309,0.51,0.666,0.059867382,100,100
Adiac,1,0.6342711,0.959079284,1.782658815,0.460358056,0.176470588,0.177980661,0.480818414,0.322250639,0.185994625,0.534526854,0.396419437,0.294394732,390,391
Adiac,3,0.572890026,0.971014493,1.789223909,0.470588235,0.311167945,0.190186262,0.485933504,0.450980392,0.196233749,0.583120205,0.543904518,0.300595284,390,391
Adiac,5,0.557544757,0.983631714,1.800455332,0.47826087,0.363682864,0.192323208,0.445012788,0.515089514,0.200134754,0.542199488,0.581585678,0.304091215,390,391
Adiac,10,0.496163683,0.985933504,1.818860292,0.468030691,0.442710997,0.200083971,0.434782609,0.612787724,0.20701623,0.475703325,0.665984655,0.313150167,390,391
AllGestureWiimoteX,1,0.59,0.587142857,2.426209927,0.478571429,0.34,0.286410093,0.492857143,0.37,0.30059433,0.557142857,0.47,0.481533051,300,700
AllGestureWiimoteX,3,0.548571429,0.623809524,2.467339993,0.468571429,0.434285714,0.306642056,0.497142857,0.501428571,0.31985569,0.541428571,0.571428571,0.501657248,300,700
AllGestureWiimoteX,5,0.551428571,0.652571429,2.486438513,0.457142857,0.476,0.315397739,0.492857143,0.561714286,0.325688124,0.548571429,0.618285714,0.509438753,300,700
AllGestureWiimoteX,10,0.515714286,0.661571429,2.482563734,0.432857143,0.504714286,0.327438831,0.45,0.621428571,0.341341019,0.487142857,0.667142857,0.52282691,300,700
AllGestureWiimoteY,1,0.597142857,0.741428571,2.4405303,0.53,0.408571429,0.287127733,0.504285714,0.397142857,0.299439907,0.577142857,0.498571429,0.484792233,300,700
AllGestureWiimoteY,3,0.564285714,0.776190476,2.459146976,0.477142857,0.485714286,0.307368279,0.517142857,0.576666667,0.319354773,0.542857143,0.647142857,0.503590345,300,700
AllGestureWiimoteY,5,0.55,0.782285714,2.488474607,0.482857143,0.518,0.313946962,0.528571429,0.632857143,0.325248003,0.535714286,0.7,0.509246349,300,700
AllGestureWiimoteY,10,0.532857143,0.78,2.482572794,0.452857143,0.522571429,0.326573133,0.505714286,0.663857143,0.338869095,0.502857143,0.726285714,0.533870935,300,700
AllGestureWiimoteZ,1,0.554285714,0.631428571,2.435925961,0.428571429,0.327142857,0.288720608,0.464285714,0.351428571,0.299474478,0.495714286,0.45,0.484202147,300,700
AllGestureWiimoteZ,3,0.508571429,0.682380952,2.439568043,0.41,0.467619048,0.308582306,0.451428571,0.504761905,0.318253994,0.474285714,0.604761905,0.504401207,300,700
AllGestureWiimoteZ,5,0.497142857,0.698,2.487589598,0.424285714,0.499714286,0.313025475,0.432857143,0.584857143,0.325228453,0.465714286,0.652857143,0.508667231,300,700
AllGestureWiimoteZ,10,0.42,0.731714286,2.487180471,0.37,0.541428571,0.326871872,0.394285714,0.647142857,0.346636057,0.401428571,0.704428571,0.528122187,300,700
ArrowHead,1,0.805714286,0.971428571,0.074730396,0.708571429,0.4,0.049237728,0.811428571,0.622857143,0.052492619,0.84,0.72,0.0908916,36,175
ArrowHead,3,0.811428571,0.973333333,0.077077627,0.8,0.556190476,0.052251816,0.857142857,0.752380952,0.055284977,0.817142857,0.786666667,0.093604088,36,175
ArrowHead,5,0.645714286,0.986285714,0.078598261,0.748571429,0.635428571,0.053068638,0.674285714,0.797714286,0.056326866,0.691428571,0.829714286,0.094754457,36,175
ArrowHead,10,0.622857143,0.990857143,0.08112216,0.708571429,0.716571429,0.054735899,0.645714286,0.860571429,0.058630228,0.582857143,0.856571429,0.096549034,36,175
Beef,1,0.566666667,0.9,0.010913134,0.466666667,0.633333333,0.008383512,0.566666667,0.766666667,0.008702993,0.6,0.833333333,0.014774799,30,30
Beef,3,0.566666667,0.955555556,0.01123929,0.466666667,0.744444444,0.008886337,0.533333333,0.855555556,0.009226799,0.533333333,0.855555556,0.015364885,30,30
Beef,5,0.466666667,0.953333333,0.0114851,0.466666667,0.786666667,0.00906539,0.5,0.833333333,0.009460449,0.466666667,0.873333333,0.015548706,30,30
Beef,10,0.3,0.983333333,0.011927843,0.4,0.856666667,0.009345055,0.3,0.913333333,0.009747744,0.3,0.923333333,0.015878439,30,30
BeetleFly,1,0.6,0.15,0.004937887,0.75,0.2,0.005569696,0.65,0.15,0.005722523,0.65,0.15,0.009694338,20,20
BeetleFly,3,0.5,0.25,0.005111933,0.55,0.25,0.005814791,0.55,0.233333333,0.005990982,0.65,0.25,0.010124922,20,20
BeetleFly,5,0.5,0.22,0.005312443,0.65,0.33,0.005899191,0.6,0.23,0.006139755,0.6,0.23,0.010215998,20,20
BeetleFly,10,0.5,0.55,0.0054667,0.6,0.53,0.006055117,0.5,0.545,0.006278753,0.5,0.56,0.01033473,20,20
BirdChicken,1,0.8,0.75,0.004971504,0.8,0.45,0.005538464,0.8,0.75,0.005813837,0.8,0.75,0.009958982,20,20
BirdChicken,3,0.65,0.583333333,0.005175352,0.65,0.55,0.005815029,0.7,0.666666667,0.006071568,0.7,0.566666667,0.010263205,20,20
BirdChicken,5,0.65,0.61,0.00526762,0.65,0.58,0.005934954,0.75,0.72,0.006211042,0.65,0.6,0.010276794,20,20
BirdChicken,10,0.6,0.675,0.005432844,0.6,0.64,0.006138563,0.65,0.66,0.00632453,0.55,0.66,0.010442972,20,20
BME,1,0.886666667,0.953333333,0.053985119,0.86,0.513333333,0.042375803,0.906666667,0.78,0.044405222,0.886666667,0.826666667,0.077931643,30,150
